19 | Q3 Q4
19 K10 | Q4
19 P3 | D16 Q16
19 P3 D16 | Q16
19 P3 D16 Q16 | R4
19 P3 Q16 | D17
19 P3 Q16 D17 | D4 D3
19 P4 | D3 R4 D4 Q16
19 Q3 | C3 C17 D3 D4 D16 Q16 R16 R17
19 Q3 C17 | C4 Q17
19 Q3 C3 | Q17
19 Q3 D16 | C4 Q17 R16
19 Q3 D16 C4 | Q16 R16
19 Q3 D16 C4 Q16 | R5 R14
19 Q3 D16 C4 Q16 R14 | Q5 Q11
19 Q3 D16 C4 Q16 R5 | E4
19 Q3 D16 C4 Q16 R5 E4 | E3
19 Q3 D16 C4 Q16 R5 E4 E3 | F3
19 Q3 D16 C4 Q16 R5 E4 E3 F3 | D3
19 Q3 D16 C4 Q16 R5 E4 E3 F3 D3 | F4
19 Q3 D16 C4 R16 | R5 P16
19 Q3 D16 C4 R16 R5 | E4
19 Q3 D16 C4 R16 R5 E4 | E3
19 Q3 D16 C4 R16 R5 E4 E3 | D4 F3
19 Q3 D3 | R16
19 Q3 D4 | D17 Q17 R16
19 Q3 D4 Q17 | D16
19 Q3 D4 Q17 D16 | R5
19 Q3 D4 Q17 D16 R5 | Q15 R14
19 Q3 D4 Q17 D16 R5 Q15 | R15
19 Q3 Q16 | C4 D4 D17 R5 R14
19 Q3 Q16 C4 | C16 D16 D17 R5
19 Q3 Q16 C4 C16 | R5
19 Q3 Q16 C4 D17 | R5
19 Q3 Q16 C4 D17 R5 | E4
19 Q3 Q16 C4 D17 R5 E4 | E3
19 Q3 Q16 C4 D17 R5 E4 E3 | F3
19 Q3 Q16 C4 R5 | D16 D17
19 Q3 Q16 C4 R5 D16 | E4
19 Q3 Q16 C4 R5 D16 E4 | Q8
19 Q3 Q16 C4 R5 D17 | C15 E4
19 Q3 Q16 C4 R5 D17 C15 | E3
19 Q3 Q16 C4 R5 D17 E4 | Q8
19 Q3 Q16 C4 R5 D17 E4 Q8 | C3
19 Q3 Q16 D17 | C3 C4 D4
19 Q3 Q16 D17 C4 | R5
19 Q3 Q16 D17 C4 R5 | C15
19 Q3 Q16 D17 C4 R5 C15 | E3
19 Q3 Q16 D17 C4 R5 C15 E3 | H4
19 Q3 Q16 D17 D4 | C6 R5
19 Q3 Q16 D17 D4 R5 | C15 D15
19 Q3 Q16 D17 D4 R5 C15 | D11 D12 E16
19 Q3 Q16 D17 D4 R5 C15 D12 | F15
19 Q3 Q16 D17 D4 R5 C15 D12 F15 | G17
19 Q3 Q16 D17 D4 R5 C15 D12 F15 G17 | D10
19 Q3 Q16 D17 D4 R5 C15 E16 | C12
19 Q3 Q16 D17 D4 R5 D15 | C15
19 Q3 Q16 D4 | C16 C17 D16
19 Q3 Q16 D4 C16 | R5 R14
19 Q3 Q16 D4 C16 R14 | O16
19 Q3 Q16 D4 C16 R5 | K3
19 Q3 Q16 D4 C16 R5 K3 | E16 E17
19 Q3 Q16 D4 C16 R5 K3 E17 | H16 J17
19 Q3 Q16 D4 C17 | R5
19 Q3 Q16 R5 | D3 D4
19 Q3 Q16 R5 D4 | C16 D16 D17
19 Q3 R16 | C4 C16 D4 D16 D17
19 Q3 R16 C16 | D4
19 Q3 R16 C16 D4 | P17
19 Q3 R16 C16 D4 P17 | L16
19 Q3 R16 C4 | C16 C17 D17 E17 R5
19 Q3 R16 C4 C16 | R5
19 Q3 R16 C4 C16 R5 | E3 E4
19 Q3 R16 C4 C16 R5 E3 | H4
19 Q3 R16 C4 C16 R5 E3 H4 | F4
19 Q3 R16 C4 C16 R5 E4 | E3
19 Q3 R16 C4 C16 R5 E4 E3 | F3
19 Q3 R16 C4 C16 R5 E4 E3 F3 | D3
19 Q3 R16 C4 C16 R5 E4 E3 F3 D3 | G4
19 Q3 R16 C4 C17 | Q5 R5
19 Q3 R16 C4 C17 Q5 | E4
19 Q3 R16 C4 C17 R5 | E3 E4
19 Q3 R16 C4 C17 R5 E4 | E3
19 Q3 R16 C4 C17 R5 E4 E3 | F3
19 Q3 R16 C4 C17 R5 E4 E3 F3 | D3
19 Q3 R16 C4 C17 R5 E4 E3 F3 D3 | G4
19 Q3 R16 C4 C17 R5 E4 E3 F3 D3 G4 | C6
19 Q3 R16 C4 C17 R5 E4 E3 F3 D3 G4 C6 | L3
19 Q3 R16 C4 C17 R5 E4 E3 F3 D3 G4 C6 L3 | P17
19 Q3 R16 C4 D17 | R5
19 Q3 R16 C4 E17 | R5
19 Q3 R16 C4 E17 R5 | E3 E4
19 Q3 R16 C4 R5 | D17
19 Q3 R16 C4 R5 D17 | E3 E4
19 Q3 R16 C4 R5 D17 E3 | P4
19 Q3 R16 C4 R5 D17 E3 P4 | C15
19 Q3 R16 D16 | C3 C4 D4
19 Q3 R16 D16 D4 | P17
19 Q3 R16 D16 D4 P17 | L16
19 Q3 R16 D17 | C4
19 Q3 R16 D17 C4 | R5
19 Q3 R16 D17 C4 R5 | E3
19 Q3 R17 | C4 D4
19 Q3 R17 C4 | C16 C17 R5
19 Q4 | D3 D4 D16
19 Q4 D16 | C4 C14 D3 D4
19 Q4 D16 C14 | F16 F17
19 Q4 D16 C4 | Q16 Q17 R16 R17
19 Q4 D16 C4 Q16 | C14 E3 J3 J4
19 Q4 D16 C4 Q16 C14 | E4 F16 F17
19 Q4 D16 C4 Q16 C14 E4 | F17
19 Q4 D16 C4 Q16 C14 F16 | D10
19 Q4 D16 C4 Q16 C14 F16 D10 | E3 F3
19 Q4 D16 C4 Q16 C14 F17 | B16 D10
19 Q4 D16 C4 Q16 C14 F17 D10 | F3
19 Q4 D16 C4 Q16 E3 | C9 C10 D10
19 Q4 D16 C4 Q16 E3 C10 | F17
19 Q4 D16 C4 Q16 E3 C10 F17 | F16 H17
19 Q4 D16 C4 Q16 E3 C9 | F17 O17
19 Q4 D16 C4 Q16 E3 D10 | F17
19 Q4 D16 C4 Q16 E3 D10 F17 | H17
19 Q4 D16 C4 Q16 E3 D10 F17 H17 | C17
19 Q4 D16 C4 Q16 E3 D10 F17 H17 C17 | C16
19 Q4 D16 C4 Q16 E3 D10 F17 H17 C17 C16 | D17
19 Q4 D16 C4 Q16 E3 D10 F17 H17 C17 C16 D17 | E16
19 Q4 D16 C4 Q16 E3 D10 F17 H17 C17 C16 D17 E16 | F18
19 Q4 D16 C4 Q16 E3 D10 F17 H17 C17 C16 D17 E16 F18 | G15
19 Q4 D16 C4 Q16 E3 D10 F17 H17 C17 C16 D17 E16 F18 G15 | R14
19 Q4 D16 C4 Q16 J3 | D7 D10 R6
19 Q4 D16 C4 Q16 J3 D10 | F17 R14
19 Q4 D16 C4 Q16 J3 D7 | D10 E4
19 Q4 D16 C4 Q16 J3 R6 | O4
19 Q4 D16 C4 Q16 J3 R6 O4 | S4
19 Q4 D16 C4 Q16 J3 R6 O4 S4 | R3
19 Q4 D16 C4 Q16 J3 R6 O4 S4 R3 | R9
19 Q4 D16 C4 Q16 J3 R6 O4 S4 R3 R9 | C14 D11
19 Q4 D16 C4 Q16 J3 R6 O4 S4 R3 R9 C14 | D10
19 Q4 D16 C4 Q16 J4 | D10 R6
19 Q4 D16 C4 Q16 J4 D10 | F17 Q10
19 Q4 D16 C4 Q16 J4 R6 | O4
19 Q4 D16 C4 Q17 | Q15
19 Q4 D16 C4 R17 | J3 J4
19 Q4 D17 | D4
19 Q4 D3 | D16 D17 Q16 Q17 R16
19 Q4 D3 C16 | Q17 R16
19 Q4 D3 D16 | Q16 Q17 R17
19 Q4 D3 D16 Q17 | C5
19 Q4 D3 D16 Q17 C5 | D9
19 Q4 D3 D16 R17 | C5
19 Q4 D3 D16 R17 C5 | D9 E4 C10
19 Q4 D3 D17 | Q16 R16 R17
19 Q4 D3 D17 Q16 | C5
19 Q4 D3 D17 Q16 C5 | D9 D14
19 Q4 D3 D17 R16 | C5
19 Q4 D3 D17 R16 C5 | D15
19 Q4 D3 D17 R17 | C5
19 Q4 D3 Q16 | C16 C17 D16 D17
19 Q4 D3 Q16 C16 | E16
19 Q4 D3 Q16 C16 E16 | E17
19 Q4 D3 Q16 C16 E16 E17 | F17
19 Q4 D3 Q16 C16 E16 E17 F17 | D17
19 Q4 D3 Q16 C16 E16 E17 F17 D17 | F16
19 Q4 D3 Q16 C17 | D5
19 Q4 D3 Q16 C17 D5 | C5
19 Q4 D3 Q16 C17 D5 C5 | D4
19 Q4 D3 Q16 C17 D5 C5 D4 | C4
19 Q4 D3 Q16 D16 | C6 D5 Q10
19 Q4 D3 Q16 D16 D5 | C5
19 Q4 D3 Q16 D16 D5 C5 | C6 D4
19 Q4 D3 Q16 D16 D5 C5 C6 | C4
19 Q4 D3 Q16 D16 D5 C5 C6 C4 | D6 F17
19 Q4 D3 Q16 D16 D5 C5 C6 C4 D6 | F3
19 Q4 D3 Q16 D16 D5 C5 C6 C4 D6 F3 | D10
19 Q4 D3 Q16 D16 D5 C5 C6 C4 D6 F3 D10 | R10
19 Q4 D3 Q16 D16 D5 C5 C6 C4 D6 F3 D10 R10 | C14
19 Q4 D3 Q16 D16 D5 C5 C6 C4 F17 | C14
19 Q4 D3 Q16 D16 D5 C5 C6 C4 F17 C14 | D7
19 Q4 D3 Q16 D16 D5 C5 D4 | C4
19 Q4 D3 Q16 D16 D5 C5 D4 C4 | E3
19 Q4 D3 Q16 D16 D5 C5 D4 C4 E3 | C6
19 Q4 D3 Q16 D16 D5 C5 D4 C4 E3 C6 | D6
19 Q4 D3 Q16 D16 D5 C5 D4 C4 E3 C6 D6 | D7
19 Q4 D3 Q16 D16 D5 C5 D4 C4 E3 C6 D6 D7 | C3
19 Q4 D3 Q16 D16 D5 C5 D4 C4 E3 C6 D6 D7 C3 | D2
19 Q4 D3 Q16 D16 D5 C5 D4 C4 E3 C6 D6 D7 C3 D2 | B3
19 Q4 D3 Q16 D16 Q10 | C5 D5 O3
19 Q4 D3 Q16 D16 Q10 O3 | D5
19 Q4 D3 Q16 D17 | D5 Q10
19 Q4 D3 Q16 D17 D5 | C5 D7 D8
19 Q4 D3 Q16 D17 D5 C5 | C6 D4
19 Q4 D3 Q16 D17 D5 C5 C6 | C4
19 Q4 D3 Q16 D17 D5 C5 C6 C4 | D15
19 Q4 D3 Q16 D17 D5 C5 C6 C4 D15 | C15
19 Q4 D3 Q16 D17 D5 C5 D4 | C4
19 Q4 D3 Q16 D17 D5 C5 D4 C4 | E3
19 Q4 D3 Q16 D17 D5 C5 D4 C4 E3 | C6
19 Q4 D3 Q16 D17 D5 D7 | F5
19 Q4 D3 Q16 D17 D5 D7 F5 | F3
19 Q4 D3 Q16 D17 D5 D7 F5 F3 | C3
19 Q4 D3 Q16 D17 D5 D7 F5 F3 C3 | C2
19 Q4 D3 Q16 D17 D5 D7 F5 F3 C3 C2 | C4
19 Q4 D3 Q16 D17 D5 D7 F5 F3 C3 C2 C4 | E2
